Aquifer;Conductivity [µS/cm];TDS [mg/l];Na+ [mg/l];K+ [mg/l];Ca 2+ [mg/l];Mg 2+ [mg/l];Cl- [mg/l];SO4 2- [mg/l];Cu 2+ [mg/l]
P55;;108450.0;33450.0;;2954.0;926.0;58911.0;4319.0;
P55;;105850.0;;;;;57794.0;4169.0;
P55;;110150.0;;;;;60307.0;4089.0;
P55;;89800.0;31800.0;;3633.0;564.0;56398.0;4182.0;
P55;123.3;106800.0;;;;;58074.0;4378.0;
P55;121.4;103450.0;;;;;56119.0;4095.0;
F4;319.0;292050.0;101000.0;206.0;2887.0;771.0;168246.0;3112.0;4.13
F4;298.0;252800.0;106000.0;114.0;2696.0;678.0;161885.0;3259.0;1.62
W10;;238250.0;94410.0;;2497.0;643.0;157839.0;3268.0;
F4;;263300.0;97190.0;;2478.0;647.0;159255.0;3427.0;
W10;295.0;269150.0;90300.0;148.0;2588.0;688.0;148570.0;3211.0;2.64
F4;302.0;276150.0;108000.0;145.0;2569.0;673.0;178003.0;4159.0;2.68
W10;296.0;267550.0;;;;;149270.0;3239.0;
F4;;257500.0;;;;;149270.0;3220.0;
F4;293.0;264050.0;;;;;146467.0;3119.0;
W10;;207400.0;;;;;123341.0;3598.0;
F4;;155950.0;;;;;97411.0;3886.0;
F4;;176600.0;;;;;100214.0;3753.0;
W10;;162450.0;;;;;95434.0;3791.0;
W10;;150250.0;;;;;90740.0;3707.0;
W10;;126300.0;;;;;83760.0;3847.0;
W10;;151750.0;;;;;84458.0;3899.0;
W10;183.0;134600.0;46900.0;146.0;3273.0;756.0;80968.0;3957.0;0.02
W10;158.6;146350.0;46500.0;126.0;3094.0;670.0;79572.0;3927.0;0.466
F4;188.0;144720.0;;;;;79572.0;3871.0;
W10;183.0;139600.0;;;;;74686.0;3886.0;
Ponds;;253850.0;96100.0;;2769.0;877.0;160065.0;3104.0;
Ponds;;240800.0;94390.0;;2814.0;616.0;152885.0;3322.0;
Ponds;;234900.0;89900.0;;2865.0;710.0;150672.0;3080.0;
Ponds;;196900.0;72010.0;;2612.0;894.0;111427.0;3666.0;
Ponds;;187350.0;71500.0;;3182.0;583.0;109325.0;3422.0;
Ponds;;111950.0;39900.0;;2514.0;633.0;68118.0;3998.0;
Ponds;;183400.0;60100.0;;3139.0;692.0;101908.0;3521.0;
Ca2 brine;374.0;321950.0;119000.0;174.0;2235.0;620.0;196227.0;2941.0;0.02
Ca2 brine;;260150.0;89200.0;;1417.0;1099.0;145935.0;7787.0;
Ca2 brine;376.0;332000.0;126000.0;216.0;2301.0;662.0;190400.0;2760.0;0.046
Ca2+Na;;245750.0;58800.0;;14671.0;1796.0;120088.0;958.0;
Ca2+Na;224.0;206800.0;59000.0;517.0;13826.0;1879.0;115863.0;1040.0;
Ca2+Na;;209850.0;56000.0;;13600.0;2159.0;122914.0;905.0;
Ca2+Na;;204700.0;51875.0;;13432.0;1798.0;114052.0;996.0;
Ca2 brine;;267200.0;100000.0;;3790.0;1050.0;157043.0;2184.0;
Ca2 brine;;298700.0;117000.0;;2514.0;984.0;180137.0;1969.0;
Ca2 brine;;310850.0;124000.0;;2612.0;890.0;190618.0;1843.0;
Ca2 brine;;289300.0;114000.0;;3319.0;1085.0;179405.0;2099.0;
Ca2 brine;342.0;330265.0;118900.0;352.0;2198.0;573.0;195991.0;2773.0;0.02
Ca2 brine;;343700.0;135000.0;;1240.0;403.0;205000.0;3410.0;
Ca2 brine;338.0;329600.0;130000.0;222.0;2180.0;640.0;196925.0;2818.0;0.438
Ca2 brine;;323400.0;126000.0;;2299.0;690.0;191318.0;2685.0;
Ca2 brine;;329400.0;130900.0;;1586.0;628.0;195353.0;4682.0;
Ca2 brine;;326500.0;128800.0;;1506.0;677.0;192522.0;4683.0;
Ca2 brine;;318200.0;127400.0;;2022.0;1256.0;193937.0;4477.0;
Ca2 brine;;313350.0;122100.0;;2272.0;793.0;200307.0;2926.0;
Ca2 brine;303.0;290800.0;88600.0;194.0;2648.0;686.0;135331.0;3206.0;2.57
Ca2+Na;;215050.0;46800.0;;14425.0;1815.0;99375.0;820.0;
Ca2 brine;;315900.0;129000.0;;2786.0;425.0;196060.0;3482.0;
Ca2 brine;;307000.0;121000.0;;3517.0;817.0;186413.0;1924.0;
Ca2 brine;;315850.0;128000.0;;3557.0;793.0;193421.0;1997.0;
Ca2 brine;364.0;335900.0;;;;;193421.0;2640.0;
Ca2+Na;;153250.0;;;;;90558.0;1559.0;
Ca2 brine;;310400.0;111800.0;;2854.0;695.0;185668.0;3057.0;
Ca2 brine;444.0;267300.0;;;;;158446.0;3304.0;
Ca2 brine;430.0;249000.0;87000.0;133.0;2595.0;658.0;143788.0;3526.0;0.02
Ca2 brine;;311850.0;;;;;188460.0;;
Ca2 brine;;266000.0;;;;;153560.0;3481.0;
Ca2 brine;;;;;;;173802.0;;
Ca2+Na;;;;;;;122848.0;;
Ca2+Na;;;;;;;141694.0;;
Ca2;;57736.0;18200.0;140.0;2120.0;674.0;30100.0;3720.0;
Ca2;;67076.0;21400.0;200.0;2380.0;563.0;36100.0;3806.0;
Ca2;;97680.0;31600.0;230.0;3637.0;683.0;52222.0;4116.0;
Ca2;96.0;64817.0;21488.0;129.0;2207.0;572.0;38450.0;1608.0;0.03
Ca2;;49107.0;13850.0;213.0;1982.0;641.0;25940.0;3354.0;
Ca2;64.2;51900.0;;80.0;1558.0;;28086.0;2589.0;0.02
Ca2;91.5;78700.0;23660.0;272.0;2592.0;645.0;42969.0;3794.0;0.027
Ca2 brine;372.0;328450.0;118900.0;385.0;2174.0;622.0;194966.0;3239.0;0.02
Ca2 brine;372.0;323750.0;126000.0;265.0;2316.0;583.0;190022.0;3251.0;0.02
Ca2 brine;381.0;328450.0;115125.0;362.0;2316.0;676.0;190560.0;2922.0;3.62
Ca2 brine;378.0;325650.0;125000.0;385.0;2357.0;644.0;190560.0;2999.0;3.09
Ca2 brine;376.0;330400.0;129750.0;382.0;2316.0;656.0;196227.0;3038.0;2.19
Ca2 brine;364.0;305400.0;118750.0;672.0;3231.0;510.0;183476.0;2635.0;9.44
Ca2 brine;374.0;327450.0;123000.0;149.0;2601.0;559.0;184184.0;3047.0;2.39
Ca2 brine;373.0;318650.0;125000.0;164.0;2560.0;583.0;187726.0;3014.0;3.92
Ca2 brine;372.0;319500.0;126000.0;234.0;3038.0;258.0;191976.0;2978.0;4.34
Ca2 brine;380.0;331800.0;126250.0;355.0;2316.0;865.0;194102.0;3037.0;4.44
Ca2 brine;376.0;329700.0;128219.0;227.0;2235.0;936.0;191268.0;3019.0;3.65
Ca2 brine;372.0;328450.0;133375.0;200.0;2296.0;756.0;194102.0;3024.0;4.11
Ca2 brine;376.0;327050.0;128800.0;210.0;2276.0;704.0;192684.0;2969.0;0.027
Ca2 brine;372.0;324950.0;127500.0;222.0;2316.0;831.0;195518.0;3042.0;0.049
Ca2 brine;373.0;325600.0;128000.0;320.0;2438.0;795.0;192685.0;2958.0;0.063
Ca2 brine;372.0;325150.0;126500.0;315.0;2418.0;812.0;191268.0;2964.0;3.4
Ca2 brine;375.0;323650.0;126500.0;255.0;2337.0;705.0;191976.0;2923.0;0.136
Ca2 brine;374.0;327550.0;139000.0;234.0;2316.0;695.0;204728.0;3037.0;0.094
Ca2 brine;378.0;330655.0;130500.0;278.0;2296.0;692.0;196227.0;3048.0;0.02
Ca2 brine;385.0;331100.0;125000.0;254.0;2233.0;682.0;197644.0;3019.0;0.02
Ca2 brine;374.0;329100.0;116200.0;200.0;2235.0;560.0;190560.0;3136.0;0.62
Ca2 brine;379.0;334050.0;114000.0;230.0;2256.0;620.0;188434.0;2982.0;3.8
P55;331.0;240950.0;96900.0;261.0;2438.0;657.0;160098.0;3402.0;4.44
Ca2 brine;374.0;301450.0;117000.0;404.0;2601.0;771.0;186900.0;2477.0;10.2
Ca2 brine;347.0;327700.0;121000.0;125.0;2260.0;648.0;187136.0;2974.0;0.02
Ca2 brine;327.0;313200.0;;;;;190998.0;2804.0;
Ca2 brine;;302450.0;120000.0;;1669.0;621.0;179405.0;5450.0;
Ca2 brine;;273450.0;110000.0;;2076.0;753.0;175200.0;3358.0;
Ca2+Na;167.5;141374.4;50228.0;119.8;2297.0;562.5;84493.0;3438.0;0.01
Triassic;17.87;11337.0;2605.0;25.39;989.7;332.1;6023.0;1273.0;0.01
Triassic;9.09;4787.1;1605.0;120.5;56.18;30.21;2597.0;316.6;0.01
Triassic;5.52;1108.6;77.76;125.9;346.1;0.24;209.6;7.49;0.001
Triassic;21.5;12716.2;3601.0;495.1;706.2;58.06;7381.0;372.5;0.01
Ca2;119.7;84644.0;27915.0;106.8;2261.9;644.4;49887.0;3514.0;0.01
Ca2;68.1;45675.1;14440.0;89.1;1576.0;520.4;25001.0;3759.0;0.01
Ca2;68.0;45586.6;14174.0;88.02;1577.0;511.8;24972.0;3858.0;0.01
Ca2+Na;225.0;239951.1;87769.0;118.9;1976.0;510.5;145876.0;3394.0;0.01
Ca2;122.0;94590.8;30855.0;203.9;2958.0;874.2;56415.0;2722.0;0.139
Ca2+Na;202.0;157750.0;55500.0;125.0;3892.0;551.0;87.772;3695.0;0.483
Ca2;100.3;82150.0;;;;;43555.0;3750.0;
Ca2+Na;224.0;180900.0;67000.0;177.0;2577.0;725.0;103018.0;3740.0;0.681
W10;187.0;150650.0;;;;;83760.0;3847.0;
P55;130.0;107850.0;;;;;57794.0;4169.0;
P55;143.0;112150.0;33450.0;78.5;2954.0;926.0;58911.0;4319.0;0.602
Ca2+Na;233.0;179400.0;63200.0;54.2;3114.0;707.0;106096.0;4296.0;0.02
P55;118.3;109150.0;;;;;60307.0;4089.0;
W10;224.0;157600.0;;;;;84458.0;3899.0;
Ca2 brine;469.0;324150.0;111800.0;130.0;2854.0;695.0;185668.0;3057.0;0.02
P55;120.0;102550.0;31800.0;115.0;;564.0;56398.0;4182.0;0.02
Ca2;165.0;127850.0;39990.0;137.0;2655.0;512.0;69800.0;4150.0;0.02
W10;299.0;268550.0;94410.0;256.0;2497.0;643.0;157839.0;3268.0;2.72
F4;304.0;278000.0;97190.0;270.0;2478.0;647.0;159255.0;3427.0;2.82
Ca2;74.3;63200.0;19500.0;71.6;2301.0;842.0;34059.0;3993.0;0.02
Ca2;74.3;62275.0;19900.0;71.5;2199.0;612.0;32517.0;3743.0;0.02
Ca2;343.0;32230.0;122100.0;174.0;2272.0;793.0;200307.0;2926.0;0.02
P55;122.2;101400.0;33000.0;122.0;2595.0;484.0;56678.0;3738.0;0.02
Ca2;109.9;89475.0;27400.0;138.0;2754.0;512.0;46626.0;3940.0;0.02
P55;118.2;97750.0;;;;;51652.0;4069.0;
Ca2;99.0;81900.0;21200.0;841.0;3194.0;;40205.0;3697.0;0.02
